PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=895, totalPrice=793.01, taxes=752.01, yqyr=490.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=2310, arriveDate=20250602, arriveTime=1115, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6941, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=470, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1940, arriveDate=20250614, arriveTime=2230, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6942, bookingCode=O, fareClass=OKN0F2BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=900, totalPrice=793.01, taxes=752.01, yqyr=490.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=2310, arriveDate=20250602, arriveTime=1115, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6941, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1905, arriveDate=20250614, arriveTime=2200, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=141, bookingCode=B, fareClass=OKN0F2BV, cabin=E, equipmentCode=772, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=900, totalPrice=793.01, taxes=752.01, yqyr=490.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=2310, arriveDate=20250602, arriveTime=1115, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6941, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1700, arriveDate=20250614, arriveTime=1955, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=107, bookingCode=B, fareClass=OKN0F2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=900, totalPrice=793.01, taxes=752.01, yqyr=490.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=2310, arriveDate=20250602, arriveTime=1115, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6941, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1805, arriveDate=20250614, arriveTime=2100, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6940, bookingCode=O, fareClass=OKN0F2BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=910, totalPrice=793.01, taxes=752.01, yqyr=490.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=2310, arriveDate=20250602, arriveTime=1115, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6941, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=485, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1620, arriveDate=20250614, arriveTime=1925, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6913, bookingCode=O, fareClass=OKN0F2BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=900, totalPrice=795.01, taxes=757.01, yqyr=495.0, outboundPrice=0.5, inboundPrice=37.5, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=430, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1810, arriveDate=20250602, arriveTime=620, departTerminal=8, arriveTerminal=3, marketingCarrier=AA, operatingCarrier=, flightNumber=100, bookingCode=B, fareClass=OHN0C1BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=470, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1320, arriveDate=20250614, arriveTime=1610, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6994, bookingCode=Q, fareClass=QKN0C2BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=905, totalPrice=795.01, taxes=757.01, yqyr=495.0, outboundPrice=0.5, inboundPrice=37.5, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=435, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1930, arriveDate=20250602, arriveTime=745, departTerminal=8, arriveTerminal=3, marketingCarrier=AA, operatingCarrier=, flightNumber=106, bookingCode=B, fareClass=OHN0C1BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=470, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1320, arriveDate=20250614, arriveTime=1610, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6994, bookingCode=Q, fareClass=QKN0C2BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=879, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=415, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=945, arriveDate=20250601, arriveTime=2140, departTerminal=8, arriveTerminal=3, marketingCarrier=AA, operatingCarrier=, flightNumber=142, bookingCode=B, fareClass=QHN0F1BV, cabin=E, equipmentCode=772, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=464, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=945, arriveDate=20250614, arriveTime=1229, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=101, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=884, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=415, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=945, arriveDate=20250601, arriveTime=2140, departTerminal=8, arriveTerminal=3, marketingCarrier=AA, operatingCarrier=, flightNumber=142, bookingCode=B, fareClass=QHN0F1BV, cabin=E, equipmentCode=772, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=469, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1410, arriveDate=20250614, arriveTime=1659, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=105, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=890, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=415, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=945, arriveDate=20250601, arriveTime=2140, departTerminal=8, arriveTerminal=3, marketingCarrier=AA, operatingCarrier=, flightNumber=142, bookingCode=B, fareClass=QHN0F1BV, cabin=E, equipmentCode=772, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1440, arriveDate=20250614, arriveTime=1735, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6928, bookingCode=O, fareClass=OKN0C2BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=884, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=420, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1830, arriveDate=20250602, arriveTime=630, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6925, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=464, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=945, arriveDate=20250614, arriveTime=1229, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=101, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=889, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=420, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1830, arriveDate=20250602, arriveTime=630, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6925, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=469, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1410, arriveDate=20250614, arriveTime=1659, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=105, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=895, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=420, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1830, arriveDate=20250602, arriveTime=630, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6925, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1440, arriveDate=20250614, arriveTime=1735, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6928, bookingCode=O, fareClass=OKN0C2BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=889, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1845, arriveDate=20250602, arriveTime=650, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6923, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=464, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=945, arriveDate=20250614, arriveTime=1229, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=101, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=894, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1845, arriveDate=20250602, arriveTime=650, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6923, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=469, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1410, arriveDate=20250614, arriveTime=1659, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=105, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=900, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=425, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1845, arriveDate=20250602, arriveTime=650, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6923, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1440, arriveDate=20250614, arriveTime=1735, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6928, bookingCode=O, fareClass=OKN0C2BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=899, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=435, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1930, arriveDate=20250602, arriveTime=745, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6937, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=464, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=945, arriveDate=20250614, arriveTime=1229, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=101, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=904, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=435, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1930, arriveDate=20250602, arriveTime=745, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6937, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=469, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1410, arriveDate=20250614, arriveTime=1659, departTerminal=3, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=, flightNumber=105, bookingCode=B, fareClass=OKN0C2BV, cabin=E, equipmentCode=77W, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
PEItinerary(currency=USD, outBrands=BASIC ECONOMY, inBrands=BASIC ECONOMY, duration=910, totalPrice=798.01, taxes=757.01, yqyr=495.0, outboundPrice=40.0, inboundPrice=1.0, inOutPriceIncludesTax=true, refundable=false, outboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=435, originAirportCode=JFK, destinationAirportCode=LHR, departDate=20250601, departTime=1930, arriveDate=20250602, arriveTime=745, departTerminal=8, arriveTerminal=5, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6937, bookingCode=Q, fareClass=QHN0F1BV, cabin=E, equipmentCode=777, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], inboundLegs=[RawLeg(numberOfStops=0, durationInMinutes=475, originAirportCode=LHR, destinationAirportCode=JFK, departDate=20250614, departTime=1440, arriveDate=20250614, arriveTime=1735, departTerminal=5, arriveTerminal=8, marketingCarrier=AA, operatingCarrier=BA, flightNumber=6928, bookingCode=O, fareClass=OKN0C2BV, cabin=E, equipmentCode=773, numberOfSeats=0, intermediateAirports=null, pcc=null, availabilitySource=null, brandId=null)], observationTimestamp=1746544440000, totalPriceEnriched=0.0, taxesEnriched=0.0, outboundPriceEnriched=0.0, inboundPriceEnriched=0.0, outboundLegsEnriched=null, inboundLegsEnriched=null, outBrandsEnriched=null, inBrandsEnriched=null, fareConstructionText=null, taxLadder=null, changeFee=-1.0, channel=null)
