itin_validatingcarrier,OBL_originairportcode,OBL_destinationairportcode,OBL_flightNumber,OBL_departdate,OBL_departtime,OBL_arrivedate,OBL_arrivetime,IBL_originairportcode,IBL_destinationairportcode,IBL_flightnumber,IBL_departdate,IBL_departtime,IBL_arrivedate,IBL_arrivetime,itin_cabin,itin_bookingcode,itin_totalamount,taxbreakdown,yq_val,yr_val,itin_true_tax_amount
"AC","EWR","YYZ","3747","20250524","956","20250524","1144","YYZ","JFK","8552","20250528","755","20250528","939","E","T","318.47","USD:AY 5.60|US 16.58|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","97.47"
"UA","LGA","YYZ","8227","20250524","600","20250524","740","YYZ","EWR","8660","20250528","1355","20250528","1530","E","T","350.72","USD:AY 5.60|US 18.83|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","99.72"
"UA","JFK","YYZ","6607","20250524","655","20250524","841","YYZ","LGA","8422","20250528","1420","20250528","1556","E","T","355.02","USD:AY 5.60|US 19.13|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","100.02"
"AC","LGA","YYZ","707","20250524","1030","20250524","1212","YYZ","LGA","706","20250528","1420","20250528","1556","E","L","370.07","USD:AY 5.60|US 20.18|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","101.07"
"UA","EWR","YYZ","3702","20250524","737","20250524","919","YYZ","EWR","3711","20250528","2000","20250528","2148","E","L","406.62","USD:AY 5.60|US 22.73|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","103.62"
"UA","EWR","YYZ","8436","20250524","1355","20250524","1538","YYZ","EWR","3648","20250528","1045","20250528","1223","E","L","406.62","USD:AY 5.60|US 22.73|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","103.62"
"UA","EWR","YYZ","8432","20250524","1630","20250524","1809","YYZ","JFK","6632","20250528","1320","20250528","1500","E","L","410.92","USD:AY 5.60|US 23.03|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","103.92"
"UA","LGA","YYZ","8227","20250524","600","20250524","740","YYZ","LGA","8542","20250528","750","20250528","926","E","T","430.27","USD:AY 5.60|US 24.38|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","105.27"
"AC","JFK","YYZ","8553","20250524","1030","20250524","1215","YYZ","LGA","8996","20250528","1825","20250528","1959","E","Q","463.59","USD:AY 5.60|US 26.70|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","107.59"
"UA","JFK","YYZ","6633","20250524","1030","20250524","1215","YYZ","EWR","8664","20250528","1130","20250528","1309","E","Q","716.22","USD:AY 5.60|US 44.33|XA 3.71|XF 4.50|XY 7.00|YC 7.20|CA 12.20|SQ 26.80|ZP 10.40|RC 3.48","0.0","0.0","125.22"
